nombre,tipo,tipo_cat,lat,lon,rating,n_resenas,precio,direccion,densidad_500m,cluster_kmeans,cluster_dbscan,cluster_hdbscan,prob_hdbscan,umap_1,umap_2,tsne_1,tsne_2
Oliva Restaurant - Cocina Abierta,Restaurante,restaurante,-16.497125099999998,-68.13851199999999,4.6,903,Bs 40-100,"Linares, La Paz",125,1,0,5,0.9656271344656719,7.217655,-11.706527,-57.320602,7.02079
YATI Restaurant café bar,Restaurante,restaurante,-16.49852,-68.1371576,4.6,727,Bs 40-80,"+591, La Paz",143,1,-1,5,0.8607371914267333,7.3213406,-11.810073,-53.819046,5.552934
Popular Cocina Boliviana,Restaurante,restaurante,-16.496019699999998,-68.1382794,4.6,1470,Bs 80-100,"Murillo 826, La Paz",128,1,-1,5,0.8416449468341985,-3.5306077,-9.476112,-61.304913,8.996125
Gustu,Restaurante de cocina sudamericana,restaurante,-16.544706899999998,-68.086413,4.5,1887,Más de Bs 200,"Calle 10 de Calacoto, casi, La Paz",26,3,-1,-1,0.0,1.4118178,12.104106,76.264084,-2.319197
Café Restaurante Banais,Restaurante,restaurante,-16.4967917,-68.1372583,4.5,853,Bs 40-120,"Sagarnaga 161, La Paz",141,1,0,5,1.0,-3.3883965,-9.3266115,-58.084908,10.613593
ASAU,Restaurante,restaurante,-16.533439899999998,-68.07230489999999,4.7,227,Bs 100-200,"C. Santiago Fajardo 123, La Paz",24,3,-1,1,0.9370794540294318,-0.46021515,12.096894,68.46802,-11.455063
Manq'a Restaurante,Restaurante de cocina sudamericana,restaurante,-16.5101409,-68.12633509999999,4.5,869,Bs 80-100,"Plaza Abaroa, Av. 20 de octubre #927 (entre, Belisario Salinas y, La Paz",106,1,-1,6,0.9211639300962172,4.575447,2.5732317,-14.548495,23.939186
Restaurante Cafeteria Sabor Urbano,Restaurante,restaurante,-16.4975816,-68.1385245,4.8,141,Bs 20-40,"Sagarnaga 319, La Paz",125,1,-1,4,1.0,13.1208,3.4433107,-30.151997,-31.502913
LUDO COCINA A LA VISTA,Restaurante francés,restaurante,-16.509089799999998,-68.1282409,4.5,345,Bs 80-180,"Pje. Medinacelli 2268, La Paz",112,1,-1,-1,0.0,5.2445765,1.5919166,-9.96008,27.908827
Restaurante Vegetariano Armonia,Restaurante vegetariano,restaurante,-16.510229799999998,-68.12946939999999,4.7,111,Bs 20-40,"Ecuador 2286, esquina, La Paz",101,1,-1,4,0.6928571737976024,-2.0573456,4.467049,-27.297487,-27.350058
Bodegón Porteño,Restaurante argentino,restaurante,-16.5103883,-68.124889,4.5,252,Bs 60-160,"Dentro de la Casa Argentina, Av.6 de Agosto # 2535, Casi esquina, La Paz",97,1,-1,6,1.0,5.1819787,1.6521623,-10.381969,25.641035
Mestizo Cocina de Autor,Restaurante,restaurante,-16.5404124,-68.08739179999999,4.8,205,Bs 80-140,"Calle 12 de Calacoto Edif. Peñaloza N°7900, Av. Ballivián y",47,3,-1,1,0.9344967874386051,-0.49864373,12.142531,65.94743,-11.955136
Ayluri,Restaurante,restaurante,-16.501514399999998,-68.1320956,4.9,155,Bs 60-80,"Campero, La Paz",49,0,-1,-1,0.0,-0.47111878,2.6104507,-26.4888,-4.3405375
La Boliviana,Restaurante,restaurante,-16.4971051,-68.1378665,4.3,171,Bs 60-80,"Calle Sagárnaga esquina Murillo, Galería Chuquiago #213 [segundo piso",126,1,-1,5,0.7033065791501888,0.3910083,-0.27622995,-43.330757,0.07431475
Sabor Cubano La Paz Bolivia,Restaurante cubano,restaurante,-16.4978971,-68.1389654,4.5,641,Bs 40-100,"Calle Sagarnaga 357 entre la illampu y, Linares, La Paz",125,1,0,5,1.0,7.1948338,-11.683059,-54.57914,9.294972
El Bosque Boulevard,Zona de restauración,otro,-16.5408413,-68.08386519999999,4.6,1709,Bs 40-140,"Calle 15, Av. Sanchez Bustamante y, La Paz",81,3,-1,1,1.0,-0.78780633,17.525265,72.299736,8.737309
Carbón & Sal,Restaurante argentino,restaurante,-16.5347784,-68.0724923,4.4,189,Bs 60-140,"Achumani, Av. Alexander Esq, C. 13 70, La Paz",23,3,-1,1,0.8980693367906962,-0.5465434,11.508668,63.049736,-7.1615458
La Rufina Restaurant,Restaurante,restaurante,-16.511324899999998,-68.1283646,4.4,595,Bs 60-160,"Belisario Salinas 572, La Paz",106,1,-1,6,1.0,4.5526776,2.5542004,-13.731977,26.104216
La Casa del Camba - Restaurant- La Paz,Restaurante,restaurante,-16.5405987,-68.08425009999999,4.0,294,Bs 80-180,"El Bosque, Calle 15 de Calacoto, Boulevard, La Paz",74,3,-1,1,0.8449009085404273,-1.8480508,15.626987,60.482635,11.551432
Paceña La Salteña,Restaurante de cocina sudamericana,restaurante,-16.4989176,-68.1332132,4.5,1043,Bs 20-40,"Loayza Nº 233, La Paz",86,1,-1,-1,0.0,-2.4209154,5.724866,-22.99611,-13.358141
HASTA LA VUELTA,Restaurante,restaurante,-16.5411923,-68.0946567,4.5,547,Bs 80-100,"Julian Sandoval 1001, La Paz",1,3,-1,1,0.8650788583193298,0.47120485,11.680598,66.718704,-5.0123987
Yerbabuena Restaurante,Restaurante occidental,restaurante,-16.5401022,-68.0826956,4.6,85,Bs 80-200,"C. 16 8009, La Paz",96,3,-1,-1,0.0,-1.3388714,15.993004,59.17465,2.4336743
The Lucky Llama Irish Bar,Pub irlandés,bar,-16.4962916,-68.13881909999999,4.5,326,Bs 40-80,"casi equina, galeria sumaya, Linares 809, La Paz",128,1,0,5,1.0,0.35909578,-2.0764728,-48.26531,3.6110852
La Suisse Restaurant,Restaurante suizo,restaurante,-16.5384982,-68.0815898,4.6,1163,Más de Bs 200,"Green Tower, Gral. Inofuentes piso 38, La Paz",73,3,-1,-1,0.0,1.4382632,12.121017,76.58628,0.3571342
Don Hugo Parrilla ex Parrilla Casa Argentina,Restaurante argentino,restaurante,-16.5115795,-68.12491589999999,4.3,1617,Bs 60-160,"Calle Lisimaco Gutierrez #393, 20 de octubre y, La Paz",91,1,-1,6,0.8163724150761115,3.704091,2.6869059,-15.832679,28.647675
Cafe Vida Vegan & Healthy Restaurant La Paz,Restaurante vegano,restaurante,-16.4987778,-68.1374321,4.8,360,Bs 20-40,"el que baja al Teleférico Morado, Pasaje Juan XXIII, detrás de la calle Tarija.187, a la vuelta del English Pub, Juan XXIII, La Paz",141,1,-1,4,1.0,13.175186,3.3635604,-34.712597,-30.849163
New Delhi Curry Lounge,Restaurante indio,restaurante,-16.4975772,-68.138699,4.7,403,Bs 40-100,"Sagarnaga 334, La Paz",125,1,-1,5,0.8116323668268539,7.005768,-11.495485,-59.177658,2.19937
Ali Pacha,Restaurante vegetariano,restaurante,-16.4975331,-68.1331288,4.3,822,Más de Bs 200,"C. Colon 1306, La Paz",86,1,-1,-1,0.0,17.208187,5.258283,-10.272413,34.09045
The Carrot Tree Centro,Restaurante,restaurante,-16.496185,-68.13886939999999,4.3,1541,Bs 40-60,"Inside galeria sumaya, Linares 809 esquina, La Paz",129,1,0,5,1.0,8.812222,-2.4464784,-43.192684,16.055405
Sach’a Yuntas,Restaurante peruano,restaurante,-16.5408397,-68.0843577,4.5,122,Bs 80-200,La Paz,77,3,-1,1,0.7208646410558873,-1.3302389,15.990197,59.342804,3.878959
La Rufina Calacoto,Restaurante,restaurante,-16.5427319,-68.08184849999999,4.5,264,Bs 80-100,"Calle 16 de Calacoto 8275, La Paz",107,3,-1,1,0.7645716568142799,-1.3142772,16.495378,62.58793,5.675816
Ancestral,Restaurante,restaurante,-16.534428,-68.075786,4.5,478,Más de Bs 200,"Calle 10 de Achumani Maria F. Goya #135, La Paz",27,3,-1,-1,0.0,1.3618785,12.080204,76.31919,-4.1556697
Propiedad Pública,Restaurante,restaurante,-16.543456499999998,-68.07960729999999,4.4,372,Bs 60-120,"Enrique Peñaranda, La Paz",77,3,-1,1,1.0,-1.2114801,16.612576,65.264465,6.9651947
Café del Mundo,Restaurante,restaurante,-16.4974839,-68.13865609999999,4.3,2178,Bs 40-60,"Sagarnaga 324, La Paz",125,1,0,5,1.0,8.773715,-2.4775918,-40.554737,18.541971
Tinto,Restaurante especializado en filetes,restaurante,-16.543660499999998,-68.0875587,4.5,997,$$$,"one block from Calvert School, 9th Street of Calacoto, Las Kantutas, La Paz",31,3,-1,1,1.0,1.1617749,11.689456,71.58457,-2.9271286
Fellini Pizza y Gelato,Restaurante italiano,restaurante,-16.5425921,-68.0791062,4.5,1674,Bs 80-180,"Calle Rene, Gabriel René Moreno 1383, La Paz",79,3,-1,1,1.0,-0.8380678,17.479275,71.843666,5.866522
FUEGO Parrilla Experience,Restaurante,restaurante,-16.5432658,-68.08228079999999,4.2,788,Bs 100-200,"C. Adolfo Gonzales N27, La Paz",99,3,-1,1,0.8171233233793062,-2.045777,15.94921,65.29789,11.417088
El Vagón del Sur,Restaurante,restaurante,-16.5449043,-68.08908989999999,4.4,915,Bs 80-180,"Ave Los Sauces, La Paz",17,3,-1,1,1.0,1.0349624,11.691139,70.70156,-4.2761736
El Rincón Español,Restaurante de cocina española,restaurante,-16.5105021,-68.1239507,4.4,301,Bs 80-160,"FVQG+QCV, La Paz",77,1,-1,-1,0.0,5.137959,1.693774,-8.283662,24.861492
Il Falco,Restaurante italiano,restaurante,-16.508532199999998,-68.1290729,4.3,797,Bs 60-80,"Guachalla 452, La Paz",100,1,1,6,1.0,1.8989047,2.847964,-20.008522,20.421421
La Tranquera,Restaurante,restaurante,-16.5408904,-68.0894184,4.4,408,Bs 80-180,"Av. Ballivián N° 369, La Paz",26,3,-1,1,1.0,0.95091164,11.730961,69.20252,-6.825031
Paladar Cozinha Brasileira,Restaurante brasileño,restaurante,-16.5025482,-68.1224746,4.5,427,Bs 40-140,"FVWH+X2J, Avenida Saavedra, La Paz",16,2,-1,-1,0.0,1.1723368,4.971302,-1.2693628,13.440052
Bolivian Green Kitchen,Restaurante de cocina sudamericana,restaurante,-16.4975243,-68.13866349999999,4.4,540,Bs 20-100,"Hotel Sagarnaga, C. Sagarnaga 326, La Paz",125,1,0,5,1.0,0.4537223,-2.0081365,-48.185863,7.1846433
La Grosería,Restaurante,restaurante,-16.4979984,-68.13800119999999,4.4,545,Bs 40-60,"Calle Linares #940, Sagarnaga y, La Paz",125,1,0,5,1.0,0.49847913,-2.0145152,-45.168255,8.6647415
Ita Bella Restaurant,Restaurante,restaurante,-16.514964499999998,-68.1277078,4.2,500,Bs 40-60,"De La Oliva 2805, La Paz",34,2,-1,3,1.0,0.53265935,5.2383957,-6.102951,6.8284583
Santo Ramen Restaurante,Restaurante japonés,restaurante,-16.542485799999998,-68.0844278,4.7,513,Bs 60-140,"00000, C. 14 de Calacoto 8127, La Paz",69,3,-1,1,0.9833554840701989,-1.163729,16.588135,67.69439,3.332473
Restaurant Doña Remedios,Restaurante de cocina sudamericana,restaurante,-16.5058672,-68.1289199,4.2,633,Bs 40-60,"Montevideo, Av. Arce 2081, La Paz",73,1,-1,-1,0.0,1.3904806,3.0542252,-17.777514,13.192516
INTI Restaurant Café Bar,Restaurante,restaurante,-16.4984339,-68.1370218,4.7,257,Bs 40-60,"Tarija 215, La Paz",143,1,-1,5,0.6405825112744221,0.23822333,-2.2102306,-52.316628,1.1754602
Sumaq Mikhuy Comida Nacional,Restaurante,restaurante,-16.5413274,-68.0879822,4.2,199,Bs 20-100,"Av. Sanchez Bustamante N°8025, esquina calle 11 de Calacoto, La Paz",48,3,-1,1,0.9220738642477924,-3.039597,11.715627,38.10768,4.874316
Mi Chola,Restaurante,restaurante,-16.508539,-68.1284089,4.5,507,Más de Bs 200,"20 de octubre # 2228, Pje. Medinacelli #2228, La Paz",104,1,-1,-1,0.0,17.20381,5.2538815,-9.413076,32.087143
Paladar-Cozinha Brasileira,Restaurante brasileño,restaurante,-16.5425212,-68.0782256,4.5,577,Bs 60-160,"Av. Montenegro 858 Casi esquina, La Paz",77,3,-1,1,1.0,-1.1854751,16.717623,67.47856,5.7554812
Churrasquería Sabor Gaucho,Restaurante argentino,restaurante,-16.5076392,-68.1279508,4.2,1435,Bs 60-160,"Av.6 de Agosto nº 319, La Paz",100,1,-1,6,0.8769624106043963,3.7271912,2.6738913,-17.668074,27.619783
Nina Brasas con Altura,Restaurante italiano,restaurante,-16.538343599999997,-68.08159239999999,4.1,415,Bs 100-200,"Av. de La Fuerza Naval, 3° Andar, La Paz",72,3,-1,1,0.9343739426706478,-1.9473443,15.689347,62.343414,10.1799555
Potokos,Restaurante de cocina sudamericana,restaurante,-16.4883023,-68.1221517,4.4,229,Bs 40-100,"Costa Rica 1346, La Paz",5,2,-1,-1,0.0,0.93788826,5.407281,2.0658062,11.278333
La Gaira,Hamburguesería,restaurante,-16.5408491,-68.0840292,4.7,360,Bs 40-120,"FW58+M99, Av. Sanchez Bustamante, La Paz",82,3,-1,1,1.0,-1.2244178,16.609598,64.25852,3.0727415
Restaurant Chabuca,Restaurante peruano,restaurante,-16.4978233,-68.1191576,4.3,631,Bs 60-180,Av. Brasil entre calles Pasoskanki y Lucas Jaime Nª 1624,19,2,-1,-1,0.0,1.3053191,4.760464,-2.0527232,15.044853
Tutto Pasta,Restaurante italiano,restaurante,-16.5435673,-68.0799026,4.1,162,Bs 60-160,"Gabriel René Moreno 1050, La Paz",76,3,-1,1,0.9343739426706478,-1.7005209,15.566391,58.76885,10.0052805
Pronto Dalicatessen,Restaurante italiano,restaurante,-16.508262,-68.127665,4.3,419,Bs 80-100,"Jauregui 2248, La Paz",110,1,-1,6,1.0,4.4999,2.514835,-16.672827,23.405907
Restaurant Furusato,Restaurante de sushi,restaurante,-16.5390806,-68.0893751,4.6,667,Bs 60-160,"Av. de la Fuerza Naval 437, La Paz",17,3,-1,1,1.0,0.56878227,11.724752,68.62932,-4.5816197
Phayawi Restaurante,Restaurante,restaurante,-16.5307826,-68.06987269999999,4.4,438,Bs 80-200,"C/. 22 de Achumani, La Paz",13,3,-1,1,1.0,0.9750942,11.762452,71.10858,-7.465077
Café del Mundo,Cafetería,cafe,-16.4974839,-68.13865609999999,4.3,2178,Bs 40-60,"Sagarnaga 324, La Paz",125,1,0,5,1.0,8.762249,-2.460187,-41.903492,19.473085
Café con Pan,Cafetería,cafe,-16.4959676,-68.1383165,4.5,208,Bs 20-40,"Murillo 826, La Paz",128,1,-1,4,0.765052827255745,12.990246,3.5893602,-32.75433,-26.634579
The Writer's Coffee,Cafetería,cafe,-16.4966985,-68.1330272,4.5,481,Bs 20-40,"Interior Librería, C. Comercio 1270, La Paz",69,1,-1,-1,0.0,-2.372854,5.712609,-20.808916,-14.193575
Hb Bronze Coffeebar,Cafetería,cafe,-16.498013,-68.13051999999999,4.6,1368,Bs 40-120,"Plaza Tomas Frias 1570, La Paz",45,1,-1,-1,0.0,1.3532563,4.5072074,-6.108106,13.773475
Cafe Vida Vegan & Healthy Restaurant La Paz,Restaurante vegano,restaurante,-16.4987778,-68.1374321,4.8,360,Bs 20-40,"el que baja al Teleférico Morado, Pasaje Juan XXIII, detrás de la calle Tarija.187, a la vuelta del English Pub, Juan XXIII, La Paz",141,1,-1,4,1.0,13.115319,3.4198742,-34.712597,-30.849163
Typica Café Centro,Cafetería,cafe,-16.5033824,-68.130133,4.5,456,Bs 40-60,"Edificio Tres Cruces, Batallón Colorados 40, La Paz",42,1,-1,-1,0.0,0.62137824,5.0370646,-7.1624837,9.053961
Biofilia Café,Cafetería,cafe,-16.5090146,-68.12607969999999,4.6,414,Bs 40-60,"AV. 6 DE AGOSTO #2399, Av.6 de Agosto esquina, La Paz",107,1,-1,-1,0.0,1.0908425,2.5804913,-22.649248,9.912517
Retrato Café,Cafetería,cafe,-16.5136739,-68.1288802,4.4,496,Bs 20-40,"Ecuador, La Paz",55,1,-1,-1,0.0,-2.0430753,5.832625,-18.346115,-13.244695
Roaster Specialty Coffee,Cafetería,cafe,-16.5415834,-68.0787612,4.4,811,Bs 20-80,"Gabriel René Moreno, La Paz",89,3,-1,1,1.0,-4.3606143,12.491287,46.864803,10.41917
Sultana,Cafetería,cafe,-16.5124115,-68.1294209,4.5,867,Bs 40-60,"Avenida Ecuador esquina, Belisario Salinas # 2496, La Paz",86,1,-1,-1,0.0,1.2949324,2.8155963,-20.6896,12.506529
Typica Café San Miguel,Cafetería,cafe,-16.5427615,-68.07962599999999,4.4,307,Bs 40-60,"Enrique Peñaranda 1075, La Paz",84,3,-1,1,1.0,-4.3526945,12.368318,45.370888,7.306231
Experiment Coffee,Cafetería,cafe,-16.5069679,-68.1278863,4.6,120,Bs 20-40,"Av.6 de Agosto esquina, La Paz",95,1,-1,-1,0.0,-2.0015135,4.5105605,-26.08703,-26.438103
Ocheto Coffee,Cafetería,cafe,-16.499453499999998,-68.13600439999999,4.7,87,Bs 20-40,"GV27+6HP, C. Oruro, La Paz",153,1,-1,4,0.7214218911671492,12.996278,3.5484538,-32.072968,-33.19055
Wayruru Café,Cafetería,cafe,-16.5116731,-68.1265493,4.4,118,Bs 20-40,"Planta baja Gym Spazio, Sanchez Lima Esquina, La Paz",108,1,-1,4,0.7352881031987787,-1.9785883,4.689124,-25.48245,-23.413319
Mugen Coffee Project,Cafetería,cafe,-16.5104006,-68.1260746,4.5,111,Bs 20-40,"Av.20 de Octubre 2475, La Paz",106,1,-1,4,0.6601830121237325,-1.9630115,4.6168857,-25.480953,-25.064592
Café Buena Vista,Cafetería,cafe,-16.540568699999998,-68.0826479,4.6,40,,"Calle 16 # 80009 Zona Sur, La Paz",96,3,-1,1,0.9275551464030928,-4.1953797,11.05848,44.655937,-4.334658
Café Khofisuyo Tostadores y Panadería,Cafetería,cafe,-16.5419081,-68.08218339999999,4.2,565,Bs 20-100,"C. 16 8215, La Paz",109,3,-1,1,0.904711229772999,-3.9499984,12.724,45.144215,12.533283
Unuy Pastelería & Cafetería,Panadería,otro,-16.5014669,-68.13202849999999,5.0,48,Bs 20-40,"Campero 48, La Paz",50,0,-1,-1,0.0,-1.7371423,3.7823806,-14.703356,-34.66324
Typica Café Achumani,Cafetería,cafe,-16.531839299999998,-68.0725487,4.4,184,Bs 40-60,"Calle 16 de Achumani y, C. Francisco Javier Iriarte 500, La Paz",26,3,-1,1,0.787916228700409,-2.6931021,11.224244,33.8525,3.027187
