nombre,tipo,lat,lon,rating,n_resenas,precio,direccion,query_origen
Oliva Restaurant - Cocina Abierta,Restaurante,-16.497125099999998,-68.13851199999999,4.6,903,Bs 40-100,"Linares, La Paz",restaurantes La Paz Bolivia
YATI Restaurant café bar,Restaurante,-16.49852,-68.1371576,4.6,727,Bs 40-80,"+591, La Paz",restaurantes La Paz Bolivia
Popular Cocina Boliviana,Restaurante,-16.496019699999998,-68.1382794,4.6,1470,Bs 80-100,"Murillo 826, La Paz",restaurantes La Paz Bolivia
Gustu,Restaurante de cocina sudamericana,-16.544706899999998,-68.086413,4.5,1887,Más de Bs 200,"Calle 10 de Calacoto, casi, La Paz",restaurantes La Paz Bolivia
Café Restaurante Banais,Restaurante,-16.4967917,-68.1372583,4.5,853,Bs 40-120,"Sagarnaga 161, La Paz",restaurantes La Paz Bolivia
ASAU,Restaurante,-16.533439899999998,-68.07230489999999,4.7,227,Bs 100-200,"C. Santiago Fajardo 123, La Paz",restaurantes La Paz Bolivia
Manq'a Restaurante,Restaurante de cocina sudamericana,-16.5101409,-68.12633509999999,4.5,869,Bs 80-100,"Plaza Abaroa, Av. 20 de octubre #927 (entre, Belisario Salinas y, La Paz",restaurantes La Paz Bolivia
Restaurante Cafeteria Sabor Urbano,Restaurante,-16.4975816,-68.1385245,4.8,141,Bs 20-40,"Sagarnaga 319, La Paz",restaurantes La Paz Bolivia
LUDO COCINA A LA VISTA,Restaurante francés,-16.509089799999998,-68.1282409,4.5,345,Bs 80-180,"Pje. Medinacelli 2268, La Paz",restaurantes La Paz Bolivia
Restaurante Vegetariano Armonia,Restaurante vegetariano,-16.510229799999998,-68.12946939999999,4.7,111,Bs 20-40,"Ecuador 2286, esquina, La Paz",restaurantes La Paz Bolivia
Bodegón Porteño,Restaurante argentino,-16.5103883,-68.124889,4.5,252,Bs 60-160,"Dentro de la Casa Argentina, Av.6 de Agosto # 2535, Casi esquina, La Paz",restaurantes La Paz Bolivia
Mestizo Cocina de Autor,Restaurante,-16.5404124,-68.08739179999999,4.8,205,Bs 80-140,"Calle 12 de Calacoto Edif. Peñaloza N°7900, Av. Ballivián y",restaurantes La Paz Bolivia
Ayluri,Restaurante,-16.501514399999998,-68.1320956,4.9,155,Bs 60-80,"Campero, La Paz",restaurantes La Paz Bolivia
La Boliviana,Restaurante,-16.4971051,-68.1378665,4.3,171,Bs 60-80,"Calle Sagárnaga esquina Murillo, Galería Chuquiago #213 [segundo piso",restaurantes La Paz Bolivia
Sabor Cubano La Paz Bolivia,Restaurante cubano,-16.4978971,-68.1389654,4.5,641,Bs 40-100,"Calle Sagarnaga 357 entre la illampu y, Linares, La Paz",restaurantes La Paz Bolivia
El Bosque Boulevard,Zona de restauración,-16.5408413,-68.08386519999999,4.6,1709,Bs 40-140,"Calle 15, Av. Sanchez Bustamante y, La Paz",restaurantes La Paz Bolivia
Carbón & Sal,Restaurante argentino,-16.5347784,-68.0724923,4.4,189,Bs 60-140,"Achumani, Av. Alexander Esq, C. 13 70, La Paz",restaurantes La Paz Bolivia
La Rufina Restaurant,Restaurante,-16.511324899999998,-68.1283646,4.4,595,Bs 60-160,"Belisario Salinas 572, La Paz",restaurantes La Paz Bolivia
La Casa del Camba - Restaurant- La Paz,Restaurante,-16.5405987,-68.08425009999999,4.0,294,Bs 80-180,"El Bosque, Calle 15 de Calacoto, Boulevard, La Paz",restaurantes La Paz Bolivia
Paceña La Salteña,Restaurante de cocina sudamericana,-16.4989176,-68.1332132,4.5,1043,Bs 20-40,"Loayza Nº 233, La Paz",restaurantes La Paz Bolivia
HASTA LA VUELTA,Restaurante,-16.5411923,-68.0946567,4.5,547,Bs 80-100,"Julian Sandoval 1001, La Paz",restaurantes La Paz Bolivia
Yerbabuena Restaurante,Restaurante occidental,-16.5401022,-68.0826956,4.6,85,Bs 80-200,"C. 16 8009, La Paz",restaurantes La Paz Bolivia
The Lucky Llama Irish Bar,Pub irlandés,-16.4962916,-68.13881909999999,4.5,326,Bs 40-80,"casi equina, galeria sumaya, Linares 809, La Paz",restaurantes La Paz Bolivia
La Suisse Restaurant,Restaurante suizo,-16.5384982,-68.0815898,4.6,1163,Más de Bs 200,"Green Tower, Gral. Inofuentes piso 38, La Paz",restaurantes La Paz Bolivia
Don Hugo Parrilla ex Parrilla Casa Argentina,Restaurante argentino,-16.5115795,-68.12491589999999,4.3,1617,Bs 60-160,"Calle Lisimaco Gutierrez #393, 20 de octubre y, La Paz",restaurantes La Paz Bolivia
Cafe Vida Vegan & Healthy Restaurant La Paz,Restaurante vegano,-16.4987778,-68.1374321,4.8,360,Bs 20-40,"el que baja al Teleférico Morado, Pasaje Juan XXIII, detrás de la calle Tarija.187, a la vuelta del English Pub, Juan XXIII, La Paz",restaurantes La Paz Bolivia
New Delhi Curry Lounge,Restaurante indio,-16.4975772,-68.138699,4.7,403,Bs 40-100,"Sagarnaga 334, La Paz",restaurantes La Paz Bolivia
Ali Pacha,Restaurante vegetariano,-16.4975331,-68.1331288,4.3,822,Más de Bs 200,"C. Colon 1306, La Paz",restaurantes La Paz Bolivia
The Carrot Tree Centro,Restaurante,-16.496185,-68.13886939999999,4.3,1541,Bs 40-60,"Inside galeria sumaya, Linares 809 esquina, La Paz",restaurantes La Paz Bolivia
Sach’a Yuntas,Restaurante peruano,-16.5408397,-68.0843577,4.5,122,Bs 80-200,La Paz,restaurantes La Paz Bolivia
La Rufina Calacoto,Restaurante,-16.5427319,-68.08184849999999,4.5,264,Bs 80-100,"Calle 16 de Calacoto 8275, La Paz",restaurantes La Paz Bolivia
Ancestral,Restaurante,-16.534428,-68.075786,4.5,478,Más de Bs 200,"Calle 10 de Achumani Maria F. Goya #135, La Paz",restaurantes La Paz Bolivia
Propiedad Pública,Restaurante,-16.543456499999998,-68.07960729999999,4.4,372,Bs 60-120,"Enrique Peñaranda, La Paz",restaurantes La Paz Bolivia
Café del Mundo,Restaurante,-16.4974839,-68.13865609999999,4.3,2178,Bs 40-60,"Sagarnaga 324, La Paz",restaurantes La Paz Bolivia
Tinto,Restaurante especializado en filetes,-16.543660499999998,-68.0875587,4.5,997,$$$,"one block from Calvert School, 9th Street of Calacoto, Las Kantutas, La Paz",restaurantes La Paz Bolivia
Fellini Pizza y Gelato,Restaurante italiano,-16.5425921,-68.0791062,4.5,1674,Bs 80-180,"Calle Rene, Gabriel René Moreno 1383, La Paz",restaurantes La Paz Bolivia
FUEGO Parrilla Experience,Restaurante,-16.5432658,-68.08228079999999,4.2,788,Bs 100-200,"C. Adolfo Gonzales N27, La Paz",restaurantes La Paz Bolivia
El Vagón del Sur,Restaurante,-16.5449043,-68.08908989999999,4.4,915,Bs 80-180,"Ave Los Sauces, La Paz",restaurantes La Paz Bolivia
El Rincón Español,Restaurante de cocina española,-16.5105021,-68.1239507,4.4,301,Bs 80-160,"FVQG+QCV, La Paz",restaurantes La Paz Bolivia
Il Falco,Restaurante italiano,-16.508532199999998,-68.1290729,4.3,797,Bs 60-80,"Guachalla 452, La Paz",restaurantes La Paz Bolivia
La Tranquera,Restaurante,-16.5408904,-68.0894184,4.4,408,Bs 80-180,"Av. Ballivián N° 369, La Paz",restaurantes La Paz Bolivia
Paladar Cozinha Brasileira,Restaurante brasileño,-16.5025482,-68.1224746,4.5,427,Bs 40-140,"FVWH+X2J, Avenida Saavedra, La Paz",restaurantes La Paz Bolivia
Bolivian Green Kitchen,Restaurante de cocina sudamericana,-16.4975243,-68.13866349999999,4.4,540,Bs 20-100,"Hotel Sagarnaga, C. Sagarnaga 326, La Paz",restaurantes La Paz Bolivia
La Grosería,Restaurante,-16.4979984,-68.13800119999999,4.4,545,Bs 40-60,"Calle Linares #940, Sagarnaga y, La Paz",restaurantes La Paz Bolivia
Ita Bella Restaurant,Restaurante,-16.514964499999998,-68.1277078,4.2,500,Bs 40-60,"De La Oliva 2805, La Paz",restaurantes La Paz Bolivia
Santo Ramen Restaurante,Restaurante japonés,-16.542485799999998,-68.0844278,4.7,513,Bs 60-140,"00000, C. 14 de Calacoto 8127, La Paz",restaurantes La Paz Bolivia
Restaurant Doña Remedios,Restaurante de cocina sudamericana,-16.5058672,-68.1289199,4.2,633,Bs 40-60,"Montevideo, Av. Arce 2081, La Paz",restaurantes La Paz Bolivia
INTI Restaurant Café Bar,Restaurante,-16.4984339,-68.1370218,4.7,257,Bs 40-60,"Tarija 215, La Paz",restaurantes La Paz Bolivia
Sumaq Mikhuy Comida Nacional,Restaurante,-16.5413274,-68.0879822,4.2,199,Bs 20-100,"Av. Sanchez Bustamante N°8025, esquina calle 11 de Calacoto, La Paz",restaurantes La Paz Bolivia
Mi Chola,Restaurante,-16.508539,-68.1284089,4.5,507,Más de Bs 200,"20 de octubre # 2228, Pje. Medinacelli #2228, La Paz",restaurantes La Paz Bolivia
Paladar-Cozinha Brasileira,Restaurante brasileño,-16.5425212,-68.0782256,4.5,577,Bs 60-160,"Av. Montenegro 858 Casi esquina, La Paz",restaurantes La Paz Bolivia
Churrasquería Sabor Gaucho,Restaurante argentino,-16.5076392,-68.1279508,4.2,1435,Bs 60-160,"Av.6 de Agosto nº 319, La Paz",restaurantes La Paz Bolivia
Nina Brasas con Altura,Restaurante italiano,-16.538343599999997,-68.08159239999999,4.1,415,Bs 100-200,"Av. de La Fuerza Naval, 3° Andar, La Paz",restaurantes La Paz Bolivia
Potokos,Restaurante de cocina sudamericana,-16.4883023,-68.1221517,4.4,229,Bs 40-100,"Costa Rica 1346, La Paz",restaurantes La Paz Bolivia
La Gaira,Hamburguesería,-16.5408491,-68.0840292,4.7,360,Bs 40-120,"FW58+M99, Av. Sanchez Bustamante, La Paz",restaurantes La Paz Bolivia
